exp_id,model_name,timestamp,training_time_seconds,f1_score_weighted,accuracy,f1_score_yes,f1_score_no,learning_rate,batch_size,num_epochs,warmup_ratio,weight_decay,gradient_accumulation_steps
exp001,roberta-base,2025-12-05 12:58:51,203.11,0.7406577583422216,0.7420289855072464,0.6920415224913494,0.7780548628428927,1e-05,16,10,0.0,0.0,1
exp002,roberta-base,2025-12-05 13:01:59,187.85,0.7578519383671096,0.7594202898550725,0.710801393728223,0.794044665012407,1e-05,16,10,0.0,0.0,2
exp003,roberta-base,2025-12-05 13:05:15,196.31,0.7442571231391107,0.744927536231884,0.7006802721088435,0.7777777777777778,1e-05,16,10,0.0,0.01,1
exp004,roberta-base,2025-12-05 13:08:19,183.08,0.7412217241419266,0.7420289855072464,0.6962457337883959,0.7758186397984886,1e-05,16,10,0.0,0.01,2
exp005,roberta-base,2025-12-05 13:11:29,190.4,0.7431040762939171,0.744927536231884,0.6923076923076923,0.7821782178217822,1e-05,16,10,0.0,0.1,1
exp006,roberta-base,2025-12-05 13:14:37,188.29,0.7586674506042685,0.7594202898550725,0.7167235494880546,0.7909319899244333,1e-05,16,10,0.0,0.1,2
exp007,roberta-base,2025-12-05 13:17:56,198.74,0.7513686398307692,0.7536231884057971,0.6996466431095406,0.7911547911547911,1e-05,16,10,0.1,0.0,1
exp008,roberta-base,2025-12-05 13:21:09,192.56,0.7378935532233882,0.7391304347826086,0.6896551724137931,0.775,1e-05,16,10,0.1,0.0,2
exp009,roberta-base,2025-12-05 13:24:28,199.9,0.7697973360565789,0.7710144927536232,0.726643598615917,0.8029925187032418,1e-05,16,10,0.1,0.01,1
exp010,roberta-base,2025-12-05 13:27:40,191.25,0.7293064575378383,0.7304347826086957,0.6804123711340206,0.7669172932330827,1e-05,16,10,0.1,0.01,2
exp011,roberta-base,2025-12-05 13:30:53,193.13,0.7451579746588347,0.7478260869565218,0.6903914590747331,0.7872860635696821,1e-05,16,10,0.1,0.1,1
exp012,roberta-base,2025-12-05 13:33:56,182.94,0.7661531407334563,0.7681159420289855,0.7183098591549296,0.8029556650246306,1e-05,16,10,0.1,0.1,2
exp013,roberta-base,2025-12-05 13:38:45,289.01,0.765830476501424,0.7681159420289855,0.7163120567375887,0.803921568627451,1e-05,16,15,0.0,0.0,1
