exp_id,model_name,timestamp,training_time_seconds,f1_score_weighted,accuracy,f1_score_yes,f1_score_no,learning_rate,batch_size,num_epochs
exp001,distilbert-base-uncased,2025-12-09 15:57:58,110.75,0.763515067862894,0.7681159420289855,0.7037037037037037,0.8095238095238095,1e-05,16,10
exp002,distilbert-base-uncased,2025-12-09 16:00:26,147.65,0.7616172198676128,0.7652173913043478,0.7054545454545454,0.8048192771084337,1e-05,16,15
exp003,distilbert-base-uncased,2025-12-09 16:02:07,101.26,0.7596273291925465,0.7623188405797101,0.7071428571428572,0.8,1e-05,32,10
exp004,distilbert-base-uncased,2025-12-09 16:04:38,150.57,0.7439592361541026,0.7478260869565218,0.6836363636363636,0.7903614457831325,1e-05,32,15
exp005,distilbert-base-uncased,2025-12-09 16:06:20,101.87,0.7482677622390308,0.7507246376811594,0.6950354609929078,0.7892156862745098,2e-05,16,10
exp006,distilbert-base-uncased,2025-12-09 16:08:45,145.84,0.7784086812315236,0.7797101449275362,0.7361111111111112,0.8109452736318408,2e-05,16,15
exp007,distilbert-base-uncased,2025-12-09 16:10:28,102.43,0.756131274316164,0.7594202898550725,0.7003610108303249,0.7990314769975787,2e-05,32,10
exp008,distilbert-base-uncased,2025-12-09 16:12:55,147.54,0.7678839839876742,0.7710144927536232,0.7148014440433214,0.8087167070217918,2e-05,32,15
exp009,distilbert-base-uncased,2025-12-09 16:14:37,101.86,0.7654900772610211,0.7681159420289855,0.7142857142857143,0.8048780487804879,3e-05,16,10
exp010,distilbert-base-uncased,2025-12-09 16:17:03,145.7,0.7768751651275012,0.7797101449275362,0.7266187050359713,0.8155339805825242,3e-05,16,15
exp011,distilbert-base-uncased,2025-12-09 16:18:45,102.36,0.766745980243709,0.7681159420289855,0.7222222222222222,0.8009950248756219,3e-05,32,10
exp012,distilbert-base-uncased,2025-12-09 16:21:13,147.29,0.7651317527657907,0.7681159420289855,0.7122302158273381,0.8058252427184466,3e-05,32,15
exp013,distilbert-base-uncased,2025-12-09 16:22:54,101.68,0.7495427286356822,0.7507246376811594,0.7034482758620689,0.785,5e-05,16,10
exp014,distilbert-base-uncased,2025-12-09 16:25:20,145.97,0.7692290307088171,0.7710144927536232,0.7228070175438597,0.8049382716049382,5e-05,16,15
exp015,distilbert-base-uncased,2025-12-09 16:27:03,102.24,0.7700560230697766,0.7710144927536232,0.7285223367697594,0.8020050125313283,5e-05,32,10
exp016,distilbert-base-uncased,2025-12-09 16:29:30,147.34,0.7786656671664168,0.7797101449275362,0.7379310344827587,0.81,5e-05,32,15
