exp_id,model_name,timestamp,training_time_seconds,f1_score_weighted,accuracy,f1_score_yes,f1_score_no,warmup_ratio,weight_decay,gradient_accumulation_steps
exp001,google/electra-base-discriminator,2025-12-09 17:11:33,283.86,0.7833931907638171,0.7855072463768116,0.7375886524822695,0.8186274509803921,0.0,0.0,1
exp002,google/electra-base-discriminator,2025-12-09 17:16:24,290.43,0.771724982994199,0.7768115942028986,0.7116104868913857,0.817966903073286,0.0,0.0,2
exp003,google/electra-base-discriminator,2025-12-09 17:21:08,284.26,0.7851611981522929,0.7884057971014493,0.7345454545454545,0.8240963855421687,0.0,0.01,1
exp004,google/electra-base-discriminator,2025-12-09 17:25:39,271.24,0.7725934829131418,0.7768115942028986,0.7158671586715867,0.8162291169451074,0.0,0.01,2
exp005,google/electra-base-discriminator,2025-12-09 17:30:23,283.24,0.7772155733979699,0.7797101449275362,0.7285714285714285,0.8146341463414634,0.0,0.1,1
exp006,google/electra-base-discriminator,2025-12-09 17:34:56,272.92,0.8006665656718679,0.8028985507246377,0.7571428571428571,0.8341463414634146,0.0,0.1,2
exp007,google/electra-base-discriminator,2025-12-09 17:39:39,283.23,0.7747692384349322,0.7768115942028986,0.7279151943462897,0.8108108108108109,0.1,0.0,1
exp008,google/electra-base-discriminator,2025-12-09 17:44:10,271.55,0.765795761773269,0.7710144927536232,0.704119850187266,0.8132387706855791,0.1,0.0,2
exp009,google/electra-base-discriminator,2025-12-09 17:48:53,282.87,0.795101666938746,0.7971014492753623,0.75177304964539,0.8284313725490197,0.1,0.01,1
exp010,google/electra-base-discriminator,2025-12-09 17:53:27,274.15,0.7757498256219484,0.7797101449275362,0.7205882352941176,0.8181818181818182,0.1,0.01,2
exp011,google/electra-base-discriminator,2025-12-09 17:58:11,283.27,0.7972657581664496,0.8,0.7509025270758123,0.8329297820823245,0.1,0.1,1
exp012,google/electra-base-discriminator,2025-12-09 18:02:42,271.54,0.7803085988438231,0.782608695652174,0.7330960854092526,0.8166259168704156,0.1,0.1,2
