exp_id,model_name,timestamp,training_time_seconds,f1_aggregate,f1_macro,precision_aggregate,recall_aggregate,f1_action,f1_actor,f1_effect,f1_evidence,f1_victim,warmup_ratio,weight_decay,gradient_accumulation_steps
span_exp004,roberta-base,12/7/25 13:42,934.41,0.36521267949065295,0.3514801686282405,0.38492290119931466,0.3474226804123711,0.3283236994219653,0.46072374227714036,0.29160063391442154,0.2767527675276753,0.4,0,0.01,2
span_exp006,roberta-base,12/7/25 14:14,933.83,0.3712606837606837,0.35769624604700073,0.3852549889135255,0.3582474226804124,0.3471264367816092,0.45569620253164556,0.28571428571428575,0.2593984962406016,0.4405458089668616,0,0.1,2
span_exp002,roberta-base,12/7/25 13:10,934.64,0.3735492577597841,0.3600027256009451,0.39206798866855525,0.35670103092783506,0.33025404157043875,0.47222222222222227,0.3003095975232198,0.2740740740740741,0.4231536926147704,0,0,2
span_exp012,roberta-base,12/7/25 15:51,933.08,0.37973997833152756,0.36677353502728854,0.4001141552511416,0.361340206,0.33763188745603756,0.47560975609756106,0.2946708463949843,0.2915129151291513,0.4344422700587084,0.1,0.1,2
span_exp008,roberta-base,12/7/25 14:46,932.99,0.38838084991931143,0.37504472557157975,0.406074241,0.37216494845360826,0.3477246207701283,0.4815766923736075,0.3149847094801223,0.2851782363977486,0.44575936883629197,0.1,0,2
span_exp010,roberta-base,12/7/25 15:19,933.13,0.3902964959568734,0.37776467672590214,0.4090395480225989,0.3731958762886598,0.3395348837209302,0.48861646234676015,0.3212121212121212,0.2958801498127341,0.44357976653696496,0.1,0.01,2
span_exp011,roberta-base,12/7/25 15:35,994.14,0.3907666941467436,0.37573682705393036,0.41848146,0.3664948453608247,0.3485380116959064,0.48869565217391303,0.2975206611570248,0.32183908045977005,0.4220907297830375,0.1,0.1,1
span_exp001,roberta-base,12/7/25 12:54,992.86,0.391304348,0.37777297354546047,0.42597087378640774,0.3618556701030928,0.3694874851013111,0.47907390917186105,0.2934609250398724,0.31827111984282913,0.42857142857142855,0,0,1
span_exp007,roberta-base,12/7/25 14:31,994.43,0.39389736477115117,0.38219035740631585,0.4264264264264264,0.36597938144329895,0.3699284009546539,0.47899910634495085,0.29299363057324845,0.3155893536121673,0.45344129554655876,0.1,0,1
span_exp009,roberta-base,12/7/25 15:03,994.55,0.39443671766342137,0.38260159111443515,0.4283987915407855,0.3654639175257732,0.38129496402877694,0.47713004484304933,0.27974276527331193,0.32270168855534714,0.45213849287169044,0.1,0.01,1
span_exp005,roberta-base,12/7/25 13:59,993.92,0.3945176027949476,0.37873273256660667,0.41212801796743403,0.3783505154639175,0.3740022805017104,0.4926787252368648,0.2981366459627329,0.29684601113172543,0.432,0,0.1,1
span_exp003,roberta-base,12/7/25 13:27,994.72,0.3951097527090858,0.38164238242384985,0.42857142857142855,0.3664948453608247,0.33658536585365856,0.5004452359750668,0.305511811,0.33140655105973027,0.4342629482071713,0,0.01,1
